instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms
docs/inst_test/instancias/n_1000_1,100,20,15,20,0.2000,4,9989296870,9989292248,31
docs/inst_test/instancias/n_1000_1,100,20,15,20,0.2000,202,9994827117,9994822716,27
docs/inst_test/instancias/n_1000_1,100,20,15,20,0.3000,4,9994827139,9994822678,26
docs/inst_test/instancias/n_1000_1,100,20,15,20,0.3000,202,9999357275,9999353107,26
docs/inst_test/instancias/n_1000_1,100,20,15,20,0.3000,12,9989826789,9989822344,28
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.2000,4,9999887084,9999883400,84
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.3000,12,9999946166,9999943966,68
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.1000,202,9997297340,9997292710,99
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.2000,202,9999886938,9999883405,79
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.3000,4,9999887081,9999883504,79
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.1000,4,9998296816,9998292965,105
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.1000,12,9998297366,9998292698,111
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.2000,12,9999827461,9999822909,112
docs/inst_test/instancias/n_1000_1,300,10,7,5,0.3000,202,9999887049,9999883486,68
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.1000,202,9996297269,9996292641,71
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.2000,12,9999827461,9999822909,76
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.1000,12,9996297329,9996292638,84
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.1000,4,9997297326,9997292698,96
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.2000,4,9999357296,9999353185,87
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.3000,4,9999886810,9999883434,72
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.2000,202,9997886879,9997883264,95
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.3000,12,9998416536,9998413562,82
docs/inst_test/instancias/n_1000_1,300,10,7,10,0.3000,202,9999887049,9999883486,82
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.1000,4,9995297223,9995292560,86
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.2000,4,9999357296,9999353185,83
