instance,ants,iterations,alpha,beta,rho,q,stall,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,80,123,9989474305,9989473965,496
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,50,42,9989474305,9989473965,479
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,120,123,9989474305,9989473965,498
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,80,2026,9989474305,9989473965,609
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,120,123,9989474305,9989473965,563
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,120,2026,9989474305,9989473965,577
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,80,42,9989474305,9989473965,547
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,50,123,9989474305,9989473965,571
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,120,42,9989474305,9989473965,546
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,120,42,9989474305,9989473965,475
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,50,2026,9989474305,9989473965,542
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,50,2026,9989474305,9989473965,491
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,80,123,9989474305,9989473965,894
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,50,42,9989474305,9989473965,636
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,80,42,9989474305,9989473965,509
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,80,2026,9989474305,9989473965,490
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,120,2026,9989474305,9989473965,604
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,120,42,9989474305,9989473965,837
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,120,42,9989474305,9989473965,494
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,80,123,9989474305,9989473965,520
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,120,2026,9989474305,9989473965,464
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,80,42,9989474305,9989473965,786
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,50,42,9989474305,9989473965,465
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,120,123,9989474305,9989473965,494
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,120,123,9989474305,9989473965,604
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,50,2026,9989474305,9989473965,481
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,80,123,9989474305,9989473965,492
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,120,123,9989474305,9989473965,441
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,80,2026,9989474305,9989473965,709
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,50,123,9989474305,9989473965,679
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,120,42,9989474305,9989473965,851
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,80,42,9989474305,9989473965,769
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,120,42,9989474305,9989473965,511
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,80,123,9989474305,9989473965,410
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,120,2026,9989474305,9989473965,482
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,80,123,9989474305,9989473965,812
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,50,42,9989474305,9989473965,487
